"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"Cote-Nord","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Laval","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Montreal","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Cote-Nord","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Estrie","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Estrie","Bas-Saint-Laurent","8","khrtv8cn","1","rare-grass-25"
"Estrie","Capitale-Nationale","8","khrtv8cn","1","rare-grass-25"
"Estrie","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Estrie","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Estrie","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Estrie","Estrie","8","khrtv8cn","105","rare-grass-25"
"Estrie","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","1","rare-grass-25"
"Estrie","Lanaudiere","8","khrtv8cn","1","rare-grass-25"
"Estrie","Laurentides","8","khrtv8cn","1","rare-grass-25"
"Estrie","Laval","8","khrtv8cn","0","rare-grass-25"
"Estrie","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Estrie","Monteregie","8","khrtv8cn","1","rare-grass-25"
"Estrie","Montreal","8","khrtv8cn","0","rare-grass-25"
"Estrie","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Estrie","Outaouais","8","khrtv8cn","1","rare-grass-25"
"Estrie","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Bas-Saint-Laurent","8","khrtv8cn","7","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Capitale-Nationale","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Estrie","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","103","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Lanaudiere","8","khrtv8cn","2","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Laval","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Montreal","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Gaspesie-Iles-de-la-Madeleine","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Capitale-Nationale","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Estrie","8","khrtv8cn","3","rare-grass-25"
"Lanaudiere","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","1","rare-grass-25"
"Lanaudiere","Lanaudiere","8","khrtv8cn","92","rare-grass-25"
"Lanaudiere","Laurentides","8","khrtv8cn","3","rare-grass-25"
"Lanaudiere","Laval","8","khrtv8cn","4","rare-grass-25"
"Lanaudiere","Mauricie","8","khrtv8cn","4","rare-grass-25"
"Lanaudiere","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Montreal","8","khrtv8cn","5","rare-grass-25"
"Lanaudiere","Nord-du-Quebec","8","khrtv8cn","1","rare-grass-25"
"Lanaudiere","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Lanaudiere","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Abitibi-Temiscamingue","8","khrtv8cn","1","rare-grass-25"
"Laurentides","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Capitale-Nationale","8","khrtv8cn","2","rare-grass-25"
"Laurentides","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Estrie","8","khrtv8cn","1","rare-grass-25"
"Laurentides","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Lanaudiere","8","khrtv8cn","7","rare-grass-25"
"Laurentides","Laurentides","8","khrtv8cn","90","rare-grass-25"
"Laurentides","Laval","8","khrtv8cn","2","rare-grass-25"
"Laurentides","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Monteregie","8","khrtv8cn","1","rare-grass-25"
"Laurentides","Montreal","8","khrtv8cn","1","rare-grass-25"
"Laurentides","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Laurentides","Outaouais","8","khrtv8cn","6","rare-grass-25"
"Laurentides","Saguenay-Lac-Saint-Jean","8","khrtv8cn","1","rare-grass-25"
"Laval","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Laval","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Laval","Capitale-Nationale","8","khrtv8cn","1","rare-grass-25"
"Laval","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Laval","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Laval","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Laval","Estrie","8","khrtv8cn","0","rare-grass-25"
"Laval","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Laval","Lanaudiere","8","khrtv8cn","1","rare-grass-25"
"Laval","Laurentides","8","khrtv8cn","2","rare-grass-25"
"Laval","Laval","8","khrtv8cn","99","rare-grass-25"
"Laval","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Laval","Monteregie","8","khrtv8cn","3","rare-grass-25"
"Laval","Montreal","8","khrtv8cn","7","rare-grass-25"
"Laval","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Laval","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Laval","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Capitale-Nationale","8","khrtv8cn","3","rare-grass-25"
"Mauricie","Centre-du-Quebec","8","khrtv8cn","3","rare-grass-25"
"Mauricie","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Estrie","8","khrtv8cn","1","rare-grass-25"
"Mauricie","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Lanaudiere","8","khrtv8cn","8","rare-grass-25"
"Mauricie","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Laval","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Mauricie","8","khrtv8cn","93","rare-grass-25"
"Mauricie","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Montreal","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Mauricie","Saguenay-Lac-Saint-Jean","8","khrtv8cn","4","rare-grass-25"
"Monteregie","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Capitale-Nationale","8","khrtv8cn","1","rare-grass-25"
"Monteregie","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Chaudiere-Appalaches","8","khrtv8cn","1","rare-grass-25"
"Monteregie","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Estrie","8","khrtv8cn","3","rare-grass-25"
"Monteregie","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Laurentides","8","khrtv8cn","1","rare-grass-25"
"Monteregie","Laval","8","khrtv8cn","1","rare-grass-25"
"Monteregie","Mauricie","8","khrtv8cn","3","rare-grass-25"
"Monteregie","Monteregie","8","khrtv8cn","98","rare-grass-25"
"Monteregie","Montreal","8","khrtv8cn","3","rare-grass-25"
"Monteregie","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Monteregie","Outaouais","8","khrtv8cn","2","rare-grass-25"
"Monteregie","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Montreal","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Montreal","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Montreal","Capitale-Nationale","8","khrtv8cn","1","rare-grass-25"
"Montreal","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Montreal","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Montreal","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Montreal","Estrie","8","khrtv8cn","0","rare-grass-25"
"Montreal","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Montreal","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Montreal","Laurentides","8","khrtv8cn","1","rare-grass-25"
"Montreal","Laval","8","khrtv8cn","7","rare-grass-25"
"Montreal","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Montreal","Monteregie","8","khrtv8cn","1","rare-grass-25"
"Montreal","Montreal","8","khrtv8cn","102","rare-grass-25"
"Montreal","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Montreal","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Montreal","Saguenay-Lac-Saint-Jean","8","khrtv8cn","1","rare-grass-25"
"Nord-du-Quebec","Abitibi-Temiscamingue","8","khrtv8cn","1","rare-grass-25"
"Nord-du-Quebec","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Capitale-Nationale","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Estrie","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Laval","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Montreal","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Nord-du-Quebec","8","khrtv8cn","111","rare-grass-25"
"Nord-du-Quebec","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Nord-du-Quebec","Saguenay-Lac-Saint-Jean","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Abitibi-Temiscamingue","8","khrtv8cn","3","rare-grass-25"
"Outaouais","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Capitale-Nationale","8","khrtv8cn","2","rare-grass-25"
"Outaouais","Centre-du-Quebec","8","khrtv8cn","1","rare-grass-25"
"Outaouais","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Estrie","8","khrtv8cn","2","rare-grass-25"
"Outaouais","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","4","rare-grass-25"
"Outaouais","Lanaudiere","8","khrtv8cn","1","rare-grass-25"
"Outaouais","Laurentides","8","khrtv8cn","5","rare-grass-25"
"Outaouais","Laval","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Mauricie","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Monteregie","8","khrtv8cn","1","rare-grass-25"
"Outaouais","Montreal","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Outaouais","Outaouais","8","khrtv8cn","92","rare-grass-25"
"Outaouais","Saguenay-Lac-Saint-Jean","8","khrtv8cn","1","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Abitibi-Temiscamingue","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Bas-Saint-Laurent","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Capitale-Nationale","8","khrtv8cn","2","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Centre-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Chaudiere-Appalaches","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Cote-Nord","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Estrie","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Gaspesie-Iles-de-la-Madeleine","8","khrtv8cn","1","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Lanaudiere","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Laurentides","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Laval","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Mauricie","8","khrtv8cn","1","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Monteregie","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Montreal","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Nord-du-Quebec","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Outaouais","8","khrtv8cn","0","rare-grass-25"
"Saguenay-Lac-Saint-Jean","Saguenay-Lac-Saint-Jean","8","khrtv8cn","108","rare-grass-25"
